,manager,draft_position,adp
0,Gemma,1,1.0
1,Hermes,2,2.0
2,Mistral,3,3.0
3,gpt-oss,4,4.0
4,Claude,5,5.0
5,DeepSeek,6,6.0
6,Qwen,7,7.0
7,Gemini,8,8.0
8,Grok,9,9.0
9,GPT,10,10.0
10,GPT,11,11.0
11,Grok,12,12.0
12,Gemini,13,13.0
13,Qwen,14,14.0
14,DeepSeek,15,15.0
15,Claude,16,16.0
16,gpt-oss,17,17.0
17,Mistral,18,18.0
18,Hermes,19,19.0
19,Gemma,20,20.0
20,Gemma,21,29.1
21,Hermes,22,2.6
22,Mistral,23,121.7
23,gpt-oss,24,50.4
24,Claude,25,30.3
25,DeepSeek,26,20.0
26,Qwen,27,98.4
27,Gemini,28,12.1
28,Grok,29,152.9
29,GPT,30,15.9
30,GPT,31,66.7
31,Grok,32,90.5
32,Gemini,33,91.9
33,Qwen,34,37.3
34,DeepSeek,35,44.2
35,Claude,36,14.5
36,gpt-oss,37,29.4
37,Mistral,38,99.2
38,Hermes,39,33.5
39,Gemma,40,35.0
40,Gemma,41,97.7
41,Hermes,42,59.7
42,Mistral,43,70.2
43,gpt-oss,44,30.8
44,Claude,45,43.7
45,DeepSeek,46,2.2
46,Qwen,47,46.0
47,Gemini,48,32.3
48,Grok,49,51.8
49,GPT,50,35.6
50,GPT,51,40.7
51,Grok,52,110.8
52,Gemini,53,59.8
53,Qwen,54,108.8
54,DeepSeek,55,17.6
55,Claude,56,38.3
56,gpt-oss,57,54.6
57,Mistral,58,47.6
58,Hermes,59,56.8
59,Gemma,60,19.8
60,Gemma,61,274.0
61,Hermes,62,64.2
62,Mistral,63,81.9
63,gpt-oss,64,60.0
64,Claude,65,74.7
65,DeepSeek,66,46.0
66,Qwen,67,118.7
67,Gemini,68,24.4
68,Grok,69,177.5
69,GPT,70,81.7
70,GPT,71,107.8
71,Grok,72,79.5
72,Gemini,73,55.0
73,Qwen,74,
74,DeepSeek,75,41.2
75,Claude,76,26.2
76,gpt-oss,77,132.9
77,Mistral,78,88.0
78,Hermes,79,56.5
79,Gemma,80,103.0
80,Gemma,81,156.0
81,Hermes,82,62.0
82,Mistral,83,75.0
83,gpt-oss,84,23.0
84,Claude,85,89.2
85,DeepSeek,86,94.3
86,Qwen,87,4.9
87,Gemini,88,85.0
88,Grok,89,79.6
89,GPT,90,105.7
90,GPT,91,108.0
91,Grok,92,
92,Gemini,93,79.0
93,Qwen,94,131.7
94,DeepSeek,95,18.9
95,Claude,96,117.4
96,gpt-oss,97,101.1
97,Mistral,98,79.6
98,Hermes,99,65.0
99,Gemma,100,41.8
100,Gemma,101,114.6
101,Hermes,102,68.4
102,Mistral,103,134.7
103,gpt-oss,104,130.7
104,Claude,105,147.7
105,DeepSeek,106,143.6
106,Qwen,107,134.1
107,Gemini,108,76.1
108,Grok,109,105.0
109,GPT,110,69.8
110,GPT,111,162.7
111,Grok,112,
112,Gemini,113,174.0
113,Qwen,114,104.0
114,DeepSeek,115,63.5
115,Claude,116,88.1
116,gpt-oss,117,160.0
117,Mistral,118,
118,Hermes,119,72.8
119,Gemma,120,118.9
120,Gemma,121,134.1
121,Hermes,122,45.2
122,Mistral,123,118.0
123,gpt-oss,124,
124,Claude,125,
125,DeepSeek,126,133.4
126,Qwen,127,59.1
127,Gemini,128,49.9
128,Grok,129,65.1
129,GPT,130,77.5
130,GPT,131,
131,Grok,132,131.0
132,Gemini,133,153.6
133,Qwen,134,
134,DeepSeek,135,105.5
135,Claude,136,142.0
136,gpt-oss,137,49.2
137,Mistral,138,149.0
138,Hermes,139,116.7
139,Gemma,140,147.0
140,Gemma,141,
141,Hermes,142,
142,Mistral,143,134.0
143,gpt-oss,144,114.0
144,Claude,145,
145,DeepSeek,146,165.9
146,Qwen,147,
147,Gemini,148,
148,Grok,149,119.0
149,GPT,150,156.8
